major,college,min_year,max_year,min_total,max_total,min_percent,max_percent
Agricultural & Applied Econ,ACES,1980,2018,242,670,0.007177,0.014048
Agricultural Communications,ACES,1980,2018,78,38,0.002313,0.000797
Agricultural Education,ACES,1980,2018,26,32,0.000771,0.000671
Animal Sciences,ACES,1980,2018,387,626,0.011477,0.013125
Food Science & Human Nutrition,ACES,1980,2018,81,135,0.002402,0.002831
Crop Sciences,ACES,1980,2018,173,241,0.00513,0.005053
Accountancy,Business,1980,2018,1383,1430,0.041013,0.029983
Business Administration (MBA),Business,1980,2018,1414,2112,0.041932,0.055709
Finance,Business,1980,2018,536,887,0.015895,0.018598
Civil Engineering,Engineering,1980,2018,648,1023,0.019217,0.021449
Computer Engineering,Engineering,1980,2018,273,1184,0.008096,0.024825
Computer Science,Engineering,1980,2018,457,1012,0.013552,0.021219
Electrical Engineering,Engineering,1980,2018,1253,913,0.037158,0.019143
Industrial Engineering,Engineering,1980,2018,155,367,0.004597,0.007695
Mechanical Engineering,Engineering,1980,2018,796,1285,0.023605,0.026943
Theoretical & Applied Mechans,Engineering,1980,2018,50,36,0.001483,0.000755
Theatre,Fine and Applied Arts,1980,2018,36,201,0.001068,0.004214
Architectural Studies,Fine and Applied Arts,1980,2018,627,418,0.018594,0.008764
Architecture,Fine and Applied Arts,1980,2018,27,199,0.000801,0.004172
Art and Design,Fine and Applied Arts,1980,2018,65,47,0.001928,0.000985
Art Education,Fine and Applied Arts,1980,2018,42,54,0.001246,0.001132
Crafts,Fine and Applied Arts,1980,2018,20,4,0.000593,0.000084
Dance,Fine and Applied Arts,1980,2018,30,68,0.00089,0.001426
Graphic Design,Fine and Applied Arts,1980,2018,164,185,0.004863,0.003879
Industrial Design,Fine and Applied Arts,1980,2018,97,201,0.002877,0.004214
Landscape Architecture,Fine and Applied Arts,1980,2018,127,107,0.003766,0.002243
Music,Fine and Applied Arts,1980,2018,251,239,0.007443,0.005011
Music Education,Fine and Applied Arts,1980,2018,309,152,0.009163,0.003187
Urban Planning,Fine and Applied Arts,1980,2018,92,132,0.002728,0.002768
Physics*,LAS,1980,2018,276,275,0.008185,0.005766
Spanish,LAS,1980,2018,46,122,0.001364,0.002558
Statistics,LAS,1980,2018,11,561,0.000326,0.011762
Economics,LAS,1980,2018,160,870,0.004745,0.018241
Anthropology,LAS,1980,2018,78,152,0.002313,0.003187
Chemical Engineering,LAS,1980,2018,530,756,0.015717,0.015851
Chemistry,LAS,1980,2018,531,798,0.015747,0.016732
Classics,LAS,1980,2018,8,17,0.000237,0.000356
Comparative Literature,LAS,1980,2018,42,29,0.001246,0.000608
Astronomy,LAS,1980,2018,16,119,0.000474,0.002495
Atmospheric Sciences,LAS,1980,2018,22,117,0.000652,0.002453
Biochemistry,LAS,1980,2018,86,242,0.00255,0.005074
Classical Philology,LAS,1980,2018,9,10,0.000267,0.00021
English,LAS,1980,2018,108,442,0.003203,0.009267
French,LAS,1980,2018,40,35,0.001186,0.000734
Geography,LAS,1980,2018,43,53,0.001275,0.001111
Geology,LAS,1980,2018,64,97,0.001898,0.002034
German,LAS,1980,2018,26,7,0.000771,0.000147
History,LAS,1980,2018,82,340,0.002432,0.007129
Italian,LAS,1980,2018,2,7,0.000059,0.000147
Linguistics,LAS,1980,2018,63,125,0.001868,0.002621
Mathematics,LAS,1980,2018,139,772,0.004122,0.016187
Microbiology,LAS,1980,2018,59,49,0.00175,0.001027
Molecular & Integrative Physics,LAS,1980,2018,57,23,0.00169,0.000482
Philosophy,LAS,1980,2018,33,111,0.000979,0.002327
Plant Biology,LAS,1980,2018,31,33,0.000919,0.000692
Political Science,LAS,1980,2018,46,768,0.001364,0.016103
Psychology,LAS,1980,2018,160,1667,0.004745,0.034952
Slavic Languages & Literature,LAS,1980,2018,13,5,0.000386,0.000105
Sociology,LAS,1980,2018,46,213,0.001364,0.004466
